id;available;url;price;currencyId;category;picture;name;description;country_of_origin
1;TRUE;;60;RUR;Суши;;Гункан с красной масаго (35г);Нори, рис, икра масаго красная;
2;true;;60;RUR;Суши;;Гункан с красной масаго (35г);Нори, рис, икра масаго красная;
